CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Clatest,Flatest,Fmsy,Frecent,MSY,SB0,SBF0,SBlatest,SBmsy,SBrecent,TBlatest,TBrecent,Flatest_Fmsy,Frecent_Fmsy,SBlatest_SB0,SBlatest_SBF0,SBlatest_SBmsy,SBrecent_SB0,SBrecent_SBF0,SBrecent_SBmsy
NZ,0.7,Diag,Diag,05length,HamelCope,N_h07_Rb_Vb_D05l_Mhac,5969.18,0.0411172,0.162264,0.04121715,12793.1,109678,112165.22,62854.8,29073.8,64936.125,156457,155780.75,0.253396933392496,0.254012904895725,0.573084848374332,0.560376915411034,2.16190522050781,0.592061534674228,0.578932801094671,2.23349286986909
NZ,0.7,Diag,Diag,05length,Estimated,N_h07_Rb_Vb_D05l_Mest,5958.38,0.0534319,0.158561,0.053672275,10395.8,94136.3,96374.43,48197.5,25113.8,49674.65,120047,119234.75,0.336980089681574,0.338496067759411,0.511996966101281,0.500106719178521,1.91916396562846,0.527688574970548,0.515433917482054,1.9779822249122
NZ,0.7,Diag,Diag,05weight,HamelCope,N_h07_Rb_Vb_D05w_Mhac,6019.09,0.0341096,0.162322,0.034232025,14379.5,123448,126835.47,76919,32721.5,79080.6,189443,188456.75,0.210135409864344,0.210889620630598,0.623088263884389,0.606447076673426,2.35071741821127,0.640598470611108,0.623489627940828,2.41677795944562
NZ,0.7,Diag,Diag,05weight,Estimated,N_h07_Rb_Vb_D05w_Mest,6011.66,0.04449,0.158838,0.044769675,11542,104321,107186.3,58863.4,27816,60336.85,144935,143761,0.280096702300457,0.281857458542666,0.564252643283711,0.549169063583686,2.11617054932413,0.578376836878481,0.562915689784982,2.16914186079954
NZ,0.7,Diag,Diag,20length,HamelCope,N_h07_Rb_Vb_D20l_Mhac,5973.51,0.0432224,0.162409,0.0432167,12306.5,105011,107784.04,59469.4,27844.7,61426.875,148561,148073.25,0.26613303449932,0.266097937922159,0.566315909761834,0.551745880002271,2.1357529440073,0.584956575977755,0.569906963962382,2.20605267788843
NZ,0.7,Diag,Diag,20length,Estimated,N_h07_Rb_Vb_D20l_Mest,5958.21,0.0606691,0.157221,0.060823575,9475.43,87289.8,89692.96,42137.1,23353.9,43379.25,105386,104690,0.385884201219939,0.38686673535978,0.48272650412763,0.469792723977445,1.80428536561345,0.496956689097695,0.483641636980205,1.85747348408617
NZ,0.7,Diag,Diag,20weight,HamelCope,N_h07_Rb_Vb_D20w_Mhac,5857.82,0.05919,0.162359,0.058697325,10360.1,88348.9,90638.46,42646.6,23425.6,44722.075,107723,108144,0.364562481907378,0.361528002759317,0.482706632453828,0.470513289833036,1.82051260159825,0.506198435973736,0.493411681972531,1.90911118605287
NZ,0.7,Diag,Diag,20weight,Estimated,N_h07_Rb_Vb_D20w_Mest,5841.27,0.0770087,0.15786,0.07634365,8573.37,78132.3,80412.78,32585.1,20879.8,34148.225,82411.2,82675,0.487829089066261,0.48361617889269,0.417050310818957,0.405222901135864,1.56060402877422,0.437056441446111,0.424661664476716,1.63546705428213
NZ,0.7,Diag,Diag,Diag,HamelCope,N_h07_Rb_Vb_Dbas_Mhac,5970.75,0.0418216,0.162315,0.041887525,12623.1,108042,110639.54,61679.2,28643.1,63717.025,153722,153109.5,0.257657024920679,0.258063179619875,0.570881694155976,0.557478818151269,2.15337027067601,0.589743109161252,0.575897414251722,2.22451567742318
NZ,0.7,Diag,Diag,Diag,Estimated,N_h07_Rb_Vb_Dbas_Mest,5958.23,0.0559826,0.15808,0.056199725,10041.5,91495.5,93798.84,45882.2,24434.2,47269.2,114446,113673.5,0.354140941295547,0.355514454706478,0.501469471176178,0.489155302986689,1.87778605397353,0.516628686656721,0.503942266236981,1.9345507526336
