Mean,Median,Min,10%ile,90%ile,Max
5922,5926,5758,5846,5994,6071
47080,43738,26110,35742,62301,96686
48523,44994,27255,36729,64013,99654
118832,110466,65944,91676,155510,234896
118023,109628,65577,90625,154507,234147
0.06,0.06,0.03,0.04,0.07,0.1
0.06,0.06,0.03,0.04,0.07,0.1
20039,19502,11521,13580,26557,38811
12078,11560,8189,9708,15339,22310
0.21,0.2,0.15,0.16,0.27,0.27
0.28,0.28,0.11,0.18,0.38,0.53
0.28,0.27,0.11,0.18,0.38,0.53
2.48,2.33,1.54,1.88,3.34,4.1
2.41,2.27,1.47,1.82,3.24,3.98
0.52,0.5,0.37,0.46,0.58,0.67
0.5,0.49,0.36,0.45,0.57,0.65
0.28,0.27,0,0.16,0.41,0.93
2.48,2.37,0.48,1.8,3.37,5.37
