Year,SB_SBF0,F_Fmsy
1952,1,0.000702649
1953,0.999918686731796,0.00182033
1954,0.999677104214026,0.011442
1955,0.998035520893361,0.016742
1956,0.99549242196587,0.0134334
1957,0.99336533997035,0.00969881
1958,0.992100921539513,0.0185488
1959,0.989682861412134,0.0214494
1960,0.986964350527224,0.0148717
1961,0.9852357344954,0.0250316
1962,0.982395897286029,0.0239035
1963,0.979671606474542,0.033784
1964,0.976145978176333,0.0177743
1965,0.97484283399617,0.0420005
1966,0.970457054849646,0.049037
1967,0.965167469527427,0.040915
1968,0.960999723084718,0.058996
1969,0.954501158917181,0.0496459
1970,0.948958213042546,0.044258
1971,0.945589950861978,0.0799641
1972,0.935483528837792,0.079881
1973,0.926541192168826,0.0614202
1974,0.923474942000559,0.0781177
1975,0.918237085654925,0.0502808
1976,0.917561931953142,0.0833447
1977,0.912510501342989,0.0308513
1978,0.91537675770094,0.0363195
1979,0.918141477359064,0.0694419
1980,0.916225228193852,0.0787454
1981,0.912615628253302,0.102221
1982,0.904855871403064,0.0975417
1983,0.898252716556597,0.063155
1984,0.897043770216599,0.0716018
1985,0.89525389021924,0.0871672
1986,0.892847351783067,0.0897982
1987,0.889521962897052,0.0894215
1988,0.886612337945429,0.129833
1989,0.879141706598715,0.101295
1990,0.875028094828597,0.0880589
1991,0.873005248233732,0.0754975
1992,0.87347964024015,0.0936569
1993,0.872479023811852,0.073107
1994,0.876357967269191,0.101735
1995,0.876462055353424,0.0718881
1996,0.878690465651558,0.108003
1997,0.875600735543379,0.157384
1998,0.864949819987103,0.202639
1999,0.848108602971847,0.225278
2000,0.828006452527831,0.256214
2001,0.806136028979183,0.312557
2002,0.780243107857218,0.342774
2003,0.752444543611613,0.354409
2004,0.723442832632954,0.410188
2005,0.69598777158083,0.336778
2006,0.677848554086178,0.429023
2007,0.654092521150768,0.455984
2008,0.631330710742855,0.390621
2009,0.622342667948527,0.335023
2010,0.622680816677262,0.278243
2011,0.626709733343341,0.353728
2012,0.625268876200725,0.369987
2013,0.622981542442369,0.359582
2014,0.619493705840069,0.389352
2015,0.610744161794134,0.417232
2016,0.596998689523647,0.360728
2017,0.587595401784562,0.35927
2018,0.576904534175052,0.431703
2019,0.560882664069454,0.36132
2020,0.550860903005831,0.301523
2021,0.547745865879736,0.294641
2022,0.55177904782591,0.316533
2023,0.562956680494726,0.364828
